Cell,AreaShape_Area,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Perimeter
1,0.284896206,0.603193247,0.560920522,0.597784593,0.53066845,0.394273169,0.398374013,0.521246691,0.489198218,0.5,0.556917274,0.560689597,0.525688978
2,0.254831782,0.53500544,0.838768941,0.876577408,0.825392248,0.395646449,0.376985944,0.495260556,0.530334104,0.530330086,0.387579533,0.393581315,0.398651842
3,0.238367931,0.461787737,0.458557465,0.955980861,1,0.307239401,0.291645438,0.605010525,0.584874293,0.559016994,0.425151109,0.465895379,0.350284634
4,0.228346457,0.543603521,0.823845422,0.67382503,0.628402287,0.374405157,0.352796046,0.479779824,0.494523934,0.5,0.392447177,0.384650389,0.432489365
5,0.446671439,0.530292035,0.827888659,0.797783933,0.687481002,0.517771884,0.498571426,0.626460558,0.663316224,0.67224211,0.546235597,0.527452352,0.578310282
6,0.448818898,0.465749199,0.553058865,0.942857142,0.95983379,0.433668025,0.414819968,0.798583652,0.764838901,0.75,0.588670766,0.620248291,0.490608109
7,0.549749463,0.480796865,0.604456855,0.904105557,0.831294166,0.49551765,0.495522031,0.819571908,0.802833405,0.790569415,0.647504807,0.680790049,0.583448077
8,0.274874732,0.466875545,0.492009747,0.923909774,0.895890371,0.334377598,0.329807794,0.60812114,0.60690522,0.559016994,0.460707747,0.49765036,0.397408496
9,0.546886185,0.488678459,0.740181587,0.893567251,0.895203951,0.525809938,0.503376616,0.80094284,0.809278451,0.790569415,0.598856068,0.622803633,0.560769847
10,0.289906943,0.511079322,0.796891728,0.818526315,0.872600483,0.402984814,0.385174618,0.566352114,0.592391086,0.559016994,0.408799143,0.436170847,0.413541174
11,0.545454545,0.730584622,0.965299845,0.785735767,0.609103659,0.735636704,0.667676363,0.605010525,0.639635732,0.707106781,0.444451491,0.455507957,0.678939148
12,0.397995705,0.506011177,0.711350182,0.743191311,0.767482608,0.450808532,0.457151136,0.694995588,0.65688464,0.637377439,0.523896862,0.55471266,0.516656734
13,0.392984968,0.665305675,0.918544133,0.687969924,0.653153653,0.575812196,0.534141091,0.566352114,0.573847575,0.559016994,0.453902128,0.452410641,0.556515752
14,0.174659986,0.4719652,0.291575827,0.853768771,0.826916673,0.257882912,0.253365366,0.491436093,0.488713662,0.5,0.390046866,0.418380434,0.329733451
15,0.269863994,0.511669408,0.787390929,0.952421052,0.816527664,0.387170078,0.390005304,0.556267887,0.562891835,0.530330086,0.416830819,0.426142808,0.412462237
16,0.346456693,0.683521066,0.947736598,0.808688387,0.528382917,0.559826785,0.563544165,0.491436093,0.53338007,0.530330086,0.390965258,0.384872116,0.580961384
17,0.409448819,0.55198004,0.84403339,0.885448916,0.729866405,0.510513126,0.447890921,0.614295117,0.640147436,0.637377439,0.470614817,0.501775621,0.537372326
18,0.690765927,0.537510979,0.792964429,0.822501598,0.762597698,0.635721592,0.642081138,0.85561409,0.820105111,0.883883477,0.703134526,0.692925865,0.682833597
19,0.297780959,0.542556218,0.78819839,0.750676691,0.60581042,0.418846133,0.384479566,0.479779824,0.51904881,0.530330086,0.474618879,0.460364127,0.503010748
20,0.365783822,0.507795388,0.598362303,0.860631578,0.684570049,0.414772669,0.411366672,0.579524854,0.588318431,0.559016994,0.555004121,0.572785696,0.524445632
